"","accuracy","energy","score","architecture","data","region"
"1",0.618933333333333,0.0583342539557847,10.6267706224069,"VGG16","CIFAR10","oregon"
"2",0.6018,0.0493711518480506,12.6392849338477,"VGG19","CIFAR10","oregon"
"3",0.302133333333333,0.10577899946357,4.10767893664269,"ResNet50","CIFAR10","oregon"
"4",0.616733333333333,0.0667153643137427,9.25887159045798,"VGG16","CIFAR10","south carolina"
"5",0.615733333333333,0.0574687855262632,10.8778668557413,"VGG19","CIFAR10","south carolina"
"6",0.1,0.122414083216285,1.17467312958143,"ResNet50","CIFAR10","south carolina"
"7",0.619166666666667,0.0567204319731547,10.9854124718626,"VGG16","CIFAR10","taipei city"
"8",0.614733333333333,0.0637860045653634,9.79832481218125,"VGG19","CIFAR10","taipei city"
"9",0.216933333333333,0.134729513687493,2.47906788017753,"ResNet50","CIFAR10","taipei city"
"10",0.942966666666667,0.0879214856073846,11.0186462181827,"VGG16","MNIST","oregon"
"11",0.939533333333333,0.0932165312658414,10.4372241684236,"VGG19","MNIST","oregon"
"12",0.8858,0.189305026555929,7.63948403327498,"ResNet50","MNIST","oregon"
"13",0.945966666666667,0.092033233463431,10.4221293941635,"VGG16","MNIST","south carolina"
"14",0.9384,0.113731352407353,8.26375453557041,"VGG19","MNIST","south carolina"
"15",0.888333333333333,0.217111785007982,6.35857767990595,"ResNet50","MNIST","south carolina"
